epoch,train_loss,val_loss,val_acc,val_ttc,lr
1,0.8235930472823745,0.6568761388460795,0.8140625,0.5257027685642243,0.0009990232305719944
2,0.5468879316715484,0.4927681843439738,0.83125,0.21539512574672698,0.0009960967771506664
3,0.4644746093462545,0.4635151187578837,0.8421875,0.18175090352694193,0.0009912321891107007
4,0.4492210325197125,0.4491140862305959,0.8463541666666666,0.17666469911734264,0.0009844486647586721
5,0.42654199221878186,0.4675365209579468,0.840625,0.1793200582265854,0.0009757729755661009
6,0.4238924094548462,0.44848511964082716,0.8494791666666667,0.17614587942759197,0.0009652393605146842
7,0.4267098696519297,0.4280739317337672,0.8541666666666666,0.17024551530679066,0.0009528893909706795
8,0.4246024823357873,0.4366357723871867,0.8505208333333333,0.1688783367474874,0.0009387718066217122
9,0.4019729202309399,0.4379313886165619,0.846875,0.16609723269939422,0.0009229423231234972
10,0.41151973414928356,0.4406315301855405,0.853125,0.16939640442530315,0.0009054634122155987
11,0.4040474715173667,0.41219493399063745,0.8552083333333333,0.1578979402780533,0.0008864040551740153
12,0.41605894362672846,0.4122241139411926,0.8536458333333333,0.1592114508152008,0.0008658394705735984
13,0.39999335930279806,0.4226659352580706,0.8546875,0.1671936184167862,0.0008438508174347006
14,0.38411099712053937,0.43159104386965436,0.8541666666666666,0.16078182856241863,0.000820524874925601
15,0.4011746993724336,0.4062606821457545,0.8546875,0.16065100828806558,0.000795953699884774
16,0.3882382740365698,0.40554358959198,0.8635416666666667,0.15767933428287506,0.000770234263514603
17,0.39698742034164725,0.3880089471737544,0.8645833333333334,0.1574738363424937,0.0007434680686803488
18,0.3821597979635212,0.4213441883524259,0.8536458333333333,0.16172953049341837,0.0007157607493247108
19,0.39553494075088635,0.4184283226728439,0.85,0.15939348141352336,0.0006872216535789154
20,0.3885915184274633,0.43437617520491284,0.8479166666666667,0.16339909831682842,0.0006579634122155987
21,0.38889074167038534,0.42982998689015706,0.8479166666666667,0.16817720631758373,0.0006281014941466028
22,0.3670900642660493,0.40154342651367186,0.8640625,0.15835098723570507,0.0005977537507199335
23,0.38273315343028264,0.40715913971265155,0.8536458333333333,0.15504659612973531,0.0005670399506143305
24,0.3809867096496812,0.39694016228119533,0.8625,0.16046041349569956,0.0005360813071670099
25,0.3833400454926998,0.3957649037241936,0.8598958333333333,0.15136723617712658,0.0005049999999999998
26,0.3741910676372812,0.3928888956705729,0.85625,0.1552664339542389,0.0004739186928329897
27,0.36913491014047717,0.4068061540524165,0.8578125,0.16069565912087758,0.0004429600493856692
