epoch,train_loss,val_loss,val_acc,val_ttc,lr
1,0.4094171012811204,-0.22271912296613058,0.9932291666666667,0.029077875117460888,0.0009997557473810372
2,-0.3928160692783112,-0.58033260901769,0.9869791666666666,0.013927417240726452,0.0009990232305719946
3,-0.7341872276143825,-0.8871247371037801,0.9958333333333333,0.02016888417614003,0.0009978031724785247
4,-1.0441921780295407,-1.1671999454498292,0.9942708333333333,0.020866595643262067,0.0009960967771506667
5,-1.3183353733509144,-1.3907822847366333,0.9880208333333333,0.03627966083586216,0.0009939057285945933
6,-1.5892960285464077,-1.7363678614298503,0.9973958333333334,0.011764508470272024,0.0009912321891107012
7,-1.8612264589215002,-1.9651665290196736,0.9947916666666666,0.007844175080147881,0.0009880787971596802
8,-2.1216766631349606,-2.2317542235056558,0.9947916666666666,0.015062031739701828,0.0009844486647586726
9,-2.400638516067613,-2.5277690092722573,0.9963541666666667,0.00953677265982454,0.000980345374410087
10,-2.6514240697766027,-2.688802448908488,0.9973958333333334,0.025425593151400486,0.0009757729755661012
11,-2.9110317027315182,-2.970426082611084,0.996875,0.010631197970360518,0.0009707359806323418
12,-3.144702081139206,-3.206064732869466,0.9958333333333333,0.0072958367721488076,0.0009652393605146846
13,-3.4118159324564834,-3.4633520285288495,0.9963541666666667,0.005377374814512829,0.0009592885397135708
14,-3.640698698395533,-3.486504316329956,0.9895833333333334,0.014834029755244652,0.0009528893909706799
15,-3.88156899154609,-3.843997287750244,0.9958333333333333,0.007602879141146938,0.0009460482294732424
16,-4.086574239933745,-3.994963868459066,0.996875,0.008441506512463092,0.0009387718066217127
17,-4.275145212809245,-3.9520681381225584,0.9953125,0.01007069901873668,0.0009310673033669524
18,-4.53848822573398,-4.445704666773478,0.9979166666666667,0.008122766685361663,0.0009229423231234977
19,-4.6996413613042085,-4.714914608001709,0.996875,0.008073507652928432,0.0009144048842659084
20,-4.983333536919127,-4.858640352884929,0.9973958333333334,0.008282185097535451,0.0009054634122155993
21,-5.163102999646613,-4.217095359166463,0.9953125,0.006476935340712467,0.0008961267311259671
22,-5.438568791599138,-5.336509450276693,0.9979166666666667,0.005267643571520845,0.000886404055174016
23,-5.535562075621693,-4.61061999797821,0.9973958333333334,0.008778372313827276,0.0008763049794670778
24,-5.8715168854869,-5.5829290072123205,0.996875,0.004824545063699285,0.000865839470573599
25,-5.914936501929101,-5.71560328801473,0.9979166666666667,0.008711675407054524,0.0008550178566873413
26,-6.148503814183228,-5.9141534805297855,0.9979166666666667,0.0038229178870096804,0.0008438508174347012
27,-6.349652833972417,-4.9257535616556805,0.9973958333333334,0.005878240366776784,0.000832349373335208
28,-6.620742537451129,-5.696092796325684,0.9973958333333334,0.007841463720736404,0.0008205248749256018
29,-6.743544969152897,-6.425665028889974,0.9973958333333334,0.004417926010986169,0.0008083889915582238
30,-7.004472522870869,-6.306786060333252,0.9973958333333334,0.005195546171550328,0.0007959536998847747
31,-7.176261252545296,-5.366668160756429,0.9973958333333334,0.005404613865539432,0.0007832312720368051
32,-7.32129812578783,-3.2560381094614663,0.996875,0.006835497155164679,0.0007702342635146037
33,-7.470459711467121,-4.019276920954386,0.9973958333333334,0.007208771724253893,0.0007569755007964342
34,-7.513014483959116,-3.3431498527526857,0.996875,0.0059739399158085385,0.0007434680686803494
35,-7.750465824248943,-1.4081356366475424,0.996875,0.006961286316315333,0.0007297252973710761
36,-8.003174034416253,-1.4673256556193033,0.996875,0.005336031860982378,0.0007157607493247114
37,-8.061568522284217,-5.999668884277344,0.9979166666666667,0.006427547940984368,0.0007015882058642168
38,-8.241637141992014,-0.3045329729715983,0.9973958333333334,0.004594910905386011,0.0006872216535789162
39,-8.315022238602875,3.318485975265503,0.9963541666666667,0.009106852083156506,0.0006726752705214198
